"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Feb 27, 2026",272.81,272.81,262.89,264.18,264.18,72239400
"Feb 26, 2026",274.95,276.11,270.80,272.95,272.95,32345100
"Feb 25, 2026",271.78,274.94,271.05,274.23,274.23,33714300
"Feb 24, 2026",267.86,274.89,267.71,272.14,272.14,47014600
"Feb 23, 2026",263.49,269.43,263.38,266.18,266.18,37308200
"Feb 20, 2026",258.97,264.75,258.16,264.58,264.58,42070500
"Feb 19, 2026",262.60,264.48,260.05,260.58,260.58,30845300
"Feb 18, 2026",263.60,266.82,262.45,264.35,264.35,34203300
"Feb 17, 2026",258.05,266.29,255.54,263.88,263.88,58469100
"Feb 13, 2026",262.01,262.23,255.45,255.78,255.78,56290700
"Feb 12, 2026",275.59,275.72,260.18,261.73,261.73,81077200
"Feb 11, 2026",274.70,280.18,274.45,275.50,275.50,51931300
"Feb 10, 2026",274.89,275.37,272.94,273.68,273.68,34376900
"Feb 09, 2026",277.91,278.20,271.70,274.62,274.62,44623400
"Feb 06, 2026",277.12,280.91,276.93,278.12,277.86,50453400
"Feb 05, 2026",278.13,279.50,273.23,275.91,275.65,52977400
"Feb 04, 2026",272.29,278.95,272.29,276.49,276.23,90545700
"Feb 03, 2026",269.20,271.88,267.61,269.48,269.23,64394700
"Feb 02, 2026",260.03,270.49,259.21,270.01,269.76,73913400
"Jan 30, 2026",255.17,261.90,252.18,259.48,259.24,92443400
"Jan 29, 2026",258.00,259.65,254.41,258.28,258.04,67253000
"Jan 28, 2026",257.65,258.86,254.51,256.44,256.20,41288000
"Jan 27, 2026",259.17,261.95,258.21,258.27,258.03,49648300
"Jan 26, 2026",251.48,256.56,249.80,255.41,255.17,55969200
"Jan 23, 2026",247.32,249.41,244.68,248.04,247.81,41689000
"Jan 22, 2026",249.20,251.00,248.15,248.35,248.12,39708300
"Jan 21, 2026",248.70,251.56,245.18,247.65,247.42,54641700
